t_s,x_km,v_kmh,a_ms2,P_traction_kW,P_lev_kW,P_aux_kW,E_net_kWh
2670.0,811.257125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.25452000015479
2680.0,814.492125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.283537770627913
2690.0,817.727125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.312555541101037
2700.0,820.962125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.34157331157416
2710.0,824.197125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.37059108204728
2720.0,827.432125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.399608852520405
2730.0,830.667125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.428626622993526
2740.0,833.902125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.457644393466648
2750.0,837.137125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.486662163939773
2760.0,840.372125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.515679934412894
2770.0,843.607125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.544697704886016
2780.0,846.842125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.57371547535917
2790.0,850.077125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.60273324583233
2800.0,853.312125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.631751016305493
2810.0,856.547125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.660768786778657
2820.0,859.782125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.689786557251818
2830.0,863.017125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.718804327724982
2840.0,866.252125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.747822098198146
2850.0,869.487125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.77683986867131
2860.0,872.722125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.80585763914447
2870.0,875.957125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.834875409617634
2880.0,879.192125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.8638931800908
2890.0,882.427125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.89291095056396
2900.0,885.662125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.921928721037123
2910.0,888.897125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.950946491510287
2920.0,892.132125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.97996426198345
2930.0,895.367125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.00898203245661
2940.0,898.602125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.037999802929775
2950.0,901.837125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.06701757340294
2960.0,905.072125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.0960353438761
2970.0,908.307125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.125053114349264
2980.0,911.542125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.154070884822428
2990.0,914.777125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.18308865529559
3000.0,918.012125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.212106425768752
3010.0,921.247125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.241124196241916
3020.0,924.482125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.27014196671508
3030.0,927.717125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.29915973718824
3040.0,930.952125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.328177507661405
3050.0,934.187125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.35719527813457
3060.0,937.422125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.386213048607733
3070.0,940.657125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.415230819080893
3080.0,943.892125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.444248589554057
3090.0,947.127125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.47326636002722
3100.0,950.362125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.50228413050038
3110.0,953.597125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.531301900973546
3120.0,956.832125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.56031967144671
3130.0,960.067125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.589337441919874
3140.0,963.302125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.618355212393034
3150.0,966.537125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.647372982866198
3160.0,969.772125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.676390753339362
3170.0,973.007125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.705408523812523
3180.0,976.242125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.734426294285687
3190.0,979.477125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.76344406475885
3200.0,982.712125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.792461835232015
3210.0,985.947125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.821479605705175
3220.0,989.182125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.85049737617834
3230.0,992.417125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.879515146651503
3240.0,995.652125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.908532917124663
3250.0,998.887125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.937550687597827
3260.0,1002.122125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.96656845807099
3270.0,1005.357125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,20.995586228544152
3280.0,1008.592125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.024603999017316
3290.0,1011.827125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.05362176949048
3300.0,1015.062125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.082639539963644
3310.0,1018.297125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.111657310436804
3320.0,1021.532125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.14067508090997
3330.0,1024.767125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.169692851383132
3340.0,1028.002125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,21.198710621856293
